Matrix size,Eigenvalue 2,Adjusted Eigenvalue,Log(Adjusted Eigenvalue)
1,,,
2,1.90850862679815670935783502815494480,0.0622776891468727050995712835529754259940421167711,-1.2056675105769565359281614291830919682979583740234375
3,1.85538194129764085294856945985748542,0.0091510036463568486903057152555160459940421167711,-2.038531271597924909855237274314276874065399169921875
4,1.84955906520274977931465281201352159,0.0033281275514657750563890674115522159940421167711,-2.47780003759879630109708159579895436763763427734375
5,1.84784587546169504262572145816733936,0.0016149378104110383674577135653699859940421167711,-2.791844197243310343736766299116425216197967529296875
6,1.84714396797449172464550712735039655,0.0009130303232077203872433827484271759940421167711,-3.03951479860688511536181977135129272937774658203125
7,1.84679963492977472800226136227299362,0.0005686972784907237439976176710242459940421167711,-3.245118850065555893280588861671276390552520751953125
8,1.84660993469649944981989885767433568,0.0003789970452154455616351130723663059940421167711,-3.42136417592013231114833615720272064208984375
9,1.84649650245800814896819297263815928,0.0002655648067241447099292280361899059940421167711,-3.575829479221984907866271896637044847011566162109375
10,1.84642438541629276263537507763443352,0.0001934477650087583771113330324641459940421167711,-3.71343628351818466626355075277388095855712890625
11,1.84637628998609671799890080257128245,0.0001453523348127137406370579693130759940421167711,-3.8375779877110023363684376818127930164337158203125
12,1.84634295848874310602578244272404253,0.0001120208374591017675186981220731559940421167711,-3.950701184903242957346947150654159486293792724609375
13,1.84631911722079254550608900469747868,0.0000881795695085412478252600955093059940421167711,-4.05463202572427316994208013056777417659759521484375
14,1.84630160651569080500023731016405428,0.0000706688644068007419735655620849059940421167711,-4.1507718874007526466130002518184483051300048828125
15,1.84628845238185487323124215825171297,0.0000575147305708689729784136497435959940421167711,-4.24022091033075820831754754181019961833953857421875
16,1.84627837721388678288384862439081051,0.0000474395626027786255848797888411359940421167711,-4.32385932386123439385983147076331079006195068359375
17,1.84627052871160605241727455407935547,0.0000395910603220481590108094773860959940421167711,-4.40240286688007387283505522646009922027587890625
18,1.84626432318555584438265108667231161,0.0000333855342718401243873420703422359940421167711,-4.476441669319509486513197771273553371429443359375
19,1.84625935161254100585006509294654817,0.0000284139612570015918013483445787959940421167711,-4.5464682160436087343668987159617245197296142578125
20,1.84625532149156727549960073687613420,0.0000243838402832712413369922741648259940421167711,-4.61289789500589453297152431332506239414215087890625
21,1.84625201983618461274276587092859380,0.0000210821849006084845021263266244259940421167711,-4.67608438202183140930401350487954914569854736328125
22,1.84624928902791149859804421639993404,0.0000183513766274943397804717979646659940421167711,-4.73633135161354967834768103784881532192230224609375
23,1.84624701070798651070511668214732162,0.0000160730567025064468529375453522459940421167711,-4.79390152318727924551922114915214478969573974609375
24,1.84624509481514085731047581727917403,0.0000141571638568530522120726772046559940421167711,-4.84902374132756452951298342668451368808746337890625
25,1.84624347198971426708872195710148393,0.0000125343384302628304582124995145559940421167711,-4.901898583418446975201732129789888858795166015625
26,1.84624208822341036578157180579554389,0.0000111505721263615233080611935745159940421167711,-4.952702848764051424268473056145012378692626953125
27,1.84624090103399081950155267186879529,0.0000099633827068152432889272668259159940421167711,-5.0015931875314070254034959361888468265533447265625
28,1.84623987669249316783529619565201723,0.0000089390412091635770324510500478559940421167711,-5.04870906061123125851963777677156031131744384765625
29,1.84623898818784012686662503343405688,0.0000080505365561226083612888320875059940421167711,-5.09417517359513993824293720535933971405029296875
30,1.84623821371521870958617369714350724,0.0000072760639347053279099525415378659940421167711,-5.13810349345026207146247543278150260448455810546875
31,1.84623753554125611836151026695960501,0.0000065978899721141032465223576356359940421167711,-5.1805949311220071962225119932554662227630615234375
32,1.84623693914347710978832034198471548,0.0000060014921931055300565973827461059940421167711,-5.22174075450631836048387413029558956623077392578125
33,1.84623641255162097082684461087246695,0.0000054749003369665685808662704975759940421167711,-5.26162378214983927904313532053492963314056396484375
34,1.84623594583904581536614461673397356,0.0000050081877618111078808721320041859940421167711,-5.3003193973715330145068946876563131809234619140625
35,1.84623553072679815533149539189027346,0.0000045930755141510732316472883040859940421167711,-5.3378964143448630608190796920098364353179931640625
36,1.84623516027301711271916958321792908,0.0000042226217331084609058386159597059940421167711,-5.37441782138864088125274065532721579074859619140625
37,1.84623482862751826382276585931494645,0.0000038909762342595645021147129770759940421167711,-5.40994142182063431079086512909270823001861572265625
38,1.84623453083655776946500874030044865,0.0000035931852737652067449956984792759940421167711,-5.44452038889070610849785225582309067249298095703125
39,1.84623426268651816561433841208344426,0.0000033250352341613560746674814748859940421167711,-5.47820374827943989970435723080299794673919677734375
40,1.84623402057799639712369090204142486,0.0000030829267123928654271574394554859940421167711,-5.51103679923770872761679129325784742832183837890625
41,1.84623380142379801365759714917577816,0.0000028637725140093993334045738087859940421167711,-5.54306148351302585552957680192776024341583251953125
42,1.84623360256584832204538813234144957,0.0000026649145643177871243877394801959940421167711,-5.5743167096543349003923140116967260837554931640625
43,1.84623342170716228880081984703567645,0.0000024840558782845425561024337070759940421167711,-5.6048386390277897817213670350611209869384765625
44,1.84623325685587014815623350825873953,0.0000023192045861438979697636567701559940421167711,-5.6346609388504464988045583595521748065948486328125
45,1.84623310627894680856830090537507898,0.0000021686276628043100371607731096059940421167711,-5.663815006708897925591372768394649028778076171875
46,1.84623296846379224929494622812455269,0.0000020308125082450366824835225833159940421167711,-5.69233017033879917789818136952817440032958984375
47,1.84623284208619508927230243717089617,0.0000019044349110850140386925689267959940421167711,-5.720233865869754907862443360500037670135498046875
48,1.84623272598351027920109504623982615,0.0000017883322262749428313016378567759940421167711,-5.74755179726550213814562084735371172428131103515625
49,1.84623261913211506372895132486494872,0.0000016814808310594706875802629793459940421167711,-5.77430807929347178486523262108676135540008544921875
50,1.84623252062839037960459952446308997,0.0000015829771063753463357798611205959940421167711,-5.80052536602630741668917835340835154056549072265625
51,1.84623242967261925191022238190940021,0.0000014920213352476519586373074308359940421167711,-5.826224966599223620278280577622354030609130859375
52,1.84623234555530824964465168482053444,0.0000014079040242453863879402185650659940421167711,-5.85142694971187449226590615580789744853973388671875
53,1.84623226764552929326770024299704599,0.0000013299942452890094364983950766159940421167711,-5.87615023816421899738315914873965084552764892578125
54,1.84623219538095213575692724360624248,0.0000012577296681314986634990042731059940421167711,-5.90041269454657335558067643432877957820892333984375
55,1.84623212825929655717730105417868125,0.0000011906080125529190373095767118759940421167711,-5.9242311990597489312904144753701984882354736328125
56,1.84623206583098072678450156230666445,0.0000011281796967225262378177046950759940421167711,-5.9476217203176933168151663267053663730621337890625
57,1.84623200769278062993949091076950075,0.0000010700414966256812271661675313759940421167711,-5.97059937987918143420529304421506822109222412109375
58,1.84623195348234675011923557964435564,0.0000010158310627458609718350423862659940421167711,-5.9931785111639879204403769108466804027557373046875
59,1.84623190287344976594575665147227006,9.652221657616874929068703006859940421167711E-7,-6.01537271333033185527483510668389499187469482421875
60,1.84623185557184799283458075860063939,9.179205639885763170139986700159940421167711E-7,-6.037194900622420590252659167163074016571044921875
61,1.84623181131168655693046684024687015,8.736604025526722030956449007759940421167711E-7,-6.05865734763787866512529944884590804576873779296875
62,1.84623176985235254086035857253686365,8.322010685366020948279348942759940421167711E-7,-6.07977173091359279766265899525023996829986572265625
63,1.84623173097572214891506569322969962,7.933244381446568019486277302459940421167711E-7,-6.10054916718375839224108858616091310977935791015625
64,1.84623169448374575373546771576644121,7.568324617494772039711644718359940421167711E-7,-6.12100024862486247201331934775225818157196044921875
65,1.84623166019632486910957597069125724,7.225450408648513122260892878659940421167711E-7,-6.14113507536813241216577807790599763393402099609375
66,1.84623162794944193572921862535920006,6.902981579314709548807572306859940421167711E-7,-6.1609632855299398812576328055001795291900634765625
67,1.84623159759350954471604426590102293,6.599422255404577805212990535559940421167711E-7,-6.18049408298425273500242838053964078426361083984375
68,1.84623156899191054903802341396742253,6.313406265447797596693654531559940421167711E-7,-6.1997362630779750958254226134158670902252197265625
69,1.84623154201970458171539404876529364,6.043684205774571303041633242659940421167711E-7,-6.2186982364694411984373800805769860744476318359375
70,1.84623151656247993954832164752609803,5.789111959352900579029241286559940421167711E-7,-6.23738805125216710933955255313776433467864990234375
71,1.84623149251533270658735972301957976,5.548640487023290959784176103859940421167711E-7,-6.25581341350986708249592993524856865406036376953125
72,1.84623146978195746872091552685196732,5.321306734644626517822499979459940421167711E-7,-6.2739817064343998964659476769156754016876220703125
73,1.84623144827383608050253617244602561,5.106225520762442724278440562359940421167711E-7,-6.291900008125619336851741536520421504974365234375
