File Number,First Data,Difference,Log Difference
2,1.90850862679815670935783502815494480,0.2472644914547709387867505954638310620101210368612,-1.3972966996618774171423638108535669744014739990234375
3,1.85538194129764085294856945985748542,0.1941378059542550823774850271663716820101210368612,-1.6391870321204471405707181475008837878704071044921875
4,1.84955906520274977931465281201352159,0.1883149298593640087435683793224078520101210368612,-1.6696395588393766473700452479533851146697998046875
5,1.84784587546169504262572145816733936,0.1866017401183092720546370254762256220101210368612,-1.6787786652195062497838762283208779990673065185546875
6,1.84714396797449172464550712735039655,0.1858998326311059540744226946592828120101210368612,-1.6825472845719489090043907708604820072650909423828125
7,1.84679963492977472800226136227299362,0.1855554995863889574311769295818798820101210368612,-1.684401252537840232292865039198659360408782958984375
8,1.84660993469649944981989885767433568,0.1853657993531136792488144249832219420101210368612,-1.685424112375530913965349100180901587009429931640625
9,1.84649650245800814896819297263815928,0.1852523671146223783971085399470455420101210368612,-1.6860362369408985472318818210624158382415771484375
10,1.84642438541629276263537507763443352,0.1851802500729069920642906449433197820101210368612,-1.68642560353163784014896009466610848903656005859375
11,1.84637628998609671799890080257128245,0.1851321546427109474278163698801687120101210368612,-1.686685359509855430815150612033903598785400390625
12,1.84634295848874310602578244272404253,0.1850988231453573354546980100329287920101210368612,-1.686865417362619634644715915783308446407318115234375
13,1.84631911722079254550608900469747868,0.1850749818774067749350045720063649420101210368612,-1.6869942285732457687430496662273071706295013427734375
14,1.84630160651569080500023731016405428,0.1850574711723050344291528774729405420101210368612,-1.6870888471616485304593879845924675464630126953125
15,1.84628845238185487323124215825171297,0.1850443170384691026601577255605992320101210368612,-1.6871599310324132403593466733582317829132080078125
16,1.84627837721388678288384862439081051,0.1850342418705010123127641916996967720101210368612,-1.6872143798391761038146796636283397674560546875
17,1.84627052871160605241727455407935547,0.1850263933682202818461901213882417320101210368612,-1.6872567972245153811172713176347315311431884765625
18,1.84626432318555584438265108667231161,0.1850201878421700738115666539811978720101210368612,-1.6872903363861555536828973345109261572360992431640625
19,1.84625935161254100585006509294654817,0.1850152162691552352789806602554344320101210368612,-1.6873172071826247897519124308018945157527923583984375
20,1.84625532149156727549960073687613420,0.1850111861481815049285163041850204620101210368612,-1.6873389900659407913963150349445641040802001953125
21,1.84625201983618461274276587092859380,0.1850078844927988421716814382374800620101210368612,-1.6873568359319772724802533048205077648162841796875
22,1.84624928902791149859804421639993404,0.1850051536845257280269597837088203020101210368612,-1.6873715965376392400543181793182156980037689208984375
23,1.84624701070798651070511668214732162,0.1850028753646007401340322494562078820101210368612,-1.6873839115132402977081937933689914643764495849609375
24,1.84624509481514085731047581727917403,0.1850009594717550867393913845880602920101210368612,-1.68739426758344990275872987695038318634033203125
25,1.84624347198971426708872195710148393,0.1849993366463284965176375244103701920101210368612,-1.687403039605762433694735591416247189044952392578125
26,1.84624208822341036578157180579554389,0.1849979528800245952104873731044301520101210368612,-1.6874105194784159156284886194043792784214019775390625
27,1.84624090103399081950155267186879529,0.1849967656906050489304682391776815520101210368612,-1.6874169368101235022550099529325962066650390625
28,1.84623987669249316783529619565201723,0.1849957413491073972642117629609034920101210368612,-1.6874224739033250042297140680602751672267913818359375
29,1.84623898818784012686662503343405688,0.1849948528444543562955406007429431420101210368612,-1.6874272767532729755401987858931533992290496826171875
30,1.84623821371521870958617369714350724,0.1849940783718329390150892644523935020101210368612,-1.6874314632170079875095325405709445476531982421875
31,1.84623753554125611836151026695960501,0.1849934001978703477904258342684912720101210368612,-1.6874351291462723612113450144533999264240264892578125
32,1.84623693914347710978832034198471548,0.1849928038000913392172359092936017420101210368612,-1.6874383530382583984419397893361747264862060546875
33,1.84623641255162097082684461087246695,0.1849922772082352002557601781813532120101210368612,-1.6874411995955018728210461631533689796924591064453125
34,1.84623594583904581536614461673397356,0.1849918104956600447950601840428598220101210368612,-1.6874437224746776653461211026296950876712799072265625
35,1.84623553072679815533149539189027346,0.1849913953834123847604109591991597220101210368612,-1.68744596642651689677450121962465345859527587890625
36,1.84623516027301711271916958321792908,0.1849910249296313421480851505268153420101210368612,-1.6874479689745338628625859200838021934032440185546875
37,1.84623482862751826382276585931494645,0.1849906932841324932516814266238327120101210368612,-1.6874497617414869754526307588093914091587066650390625
38,1.84623453083655776946500874030044865,0.1849903954931719988939243076093349120101210368612,-1.68745137150463175856884845416061580181121826171875
39,1.84623426268651816561433841208344426,0.1849901273431323950432539793923305220101210368612,-1.6874528210406103401197697166935540735721588134765625
40,1.84623402057799639712369090204142486,0.1849898852346106265526064693503111220101210368612,-1.687454129806022162796352859004400670528411865234375
