State,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8,Eigenvalue 9,Eigenvalue 10
1,0.536844929114528343918880273712156099,,,,,,,,,
2,0.503227070346064374012295817994211804,1.90850862679815670935783502815494480,,,,,,,,
3,0.500966546529793417523068733672653522,1.85538194129764085294856945985748542,4.01161811812140808117963658682167033,,,,,,,
4,0.500417399452992985002890011285029941,1.84955906520274977931465281201352159,3.95094425990918447415835376319957804,6.88109085947779325665017258155866330,,,,,,
5,0.500217960522471971158284126805621138,1.84784587546169504262572145816733936,3.94230582142403574391089585125190080,6.81848906126662115460458903745300180,10.5320734257716578847839095502406751,,,,,
6,0.500128104671212273503428080419334000,1.84714396797449172464550712735039655,3.93945858107176105691470788868530686,6.80798546585435699684889291430279881,10.4699875774926132457653160585632737,14.9718278538743780725465007112224764,,,,
7,0.500081664405705688082489478314484013,1.84679963492977472800226136227299362,3.93819952392861693724187090082658722,6.80425096647330733070197045903013921,10.4583169408638203338587676299996056,14.9112920402267465461569647914305844,20.2042078936186795436645007075100580,,,
8,0.500055247114567288987596029634417437,1.84660993469649944981989885767433568,3.93754580194433253374296211603223170,6.80250991863628076854034623820937334,10.4539342581706662722137689049440435,14.8989174157810400228920379645140176,20.1456241759045464875379379098614846,26.2314411300560039758714818583598991,,
9,0.500039112799761668449755917251697326,1.84649650245800814896819297263815928,3.93716930083644486087918553791643270,6.80156847338828541477058003366224807,10.4518096586052950276944138447460865,14.8940726627111132151189611987924204,20.1328474854761126448897273725980432,26.1749211995428249750435709319634735,33.0549075453692128017829974078922727,
10,0.500028702462125662622459941835775763,1.84642438541629276263537507763443352,3.93693594346641230466089577073652337,6.80100825712292392060932632392376587,10.4506250553077328443684998903229803,14.8916520128175195040298496822058318,20.1276775112646644175891292503739567,26.1619403305622172577845983156459884,33.0004284423887521696368359573455640,40.6755112920124256388058565619127694
11,0.500021684846014881365774260789054630,1.84637628998609671799890080257128245,3.93678310905283272719775582988404676,6.80065151513661458343752835857492423,10.4499022018699546678297885183958534,14.8902694528719256198772340707857134,20.1250310814406973937562829297712031,26.1565444867155783397709898242684346,32.9873744029106437647420706563431200,40.6229891560537453066038555012907195
12,0.500016782142915590632051615666073333,1.84634295848874310602578244272404253,3.93667859942280416253522934127385489,6.80041247407752541291562389767054221,10.4494320473111461044895954337875514,14.8894087435471684501454249833310481,20.1234898083271701905138955630434919,26.1537269013801184385029125738958100,32.9818249728736035487245418843287846,40.6099494415264083225608251300269920
13,0.500013253553626604355940791180734371,1.84631911722079254550608900469747868,3.93660460454022463082113905880574783,6.80024578170805874012844124468468246,10.4491112422138974842856833379252529,14.8888392850966133936317908854663269,20.1225144433461806124038513337881061,26.1520591998631620963757341250331790,32.9788783311268944694634543964120950,40.6042993928708497513631878428608794
14,0.500010649244328532923553566068974014,1.84630160651569080500023731016405428,3.93655068815856479488411888053706861,6.80012573500227667944408873637260487,10.4488839745975038930832893673352010,14.8884449229907729391181721618944653,20.1218599584317214384128844444467245,26.1509892729287252821287839378338309,32.9771102409949768046118847535868450,40.6012561703259059121437035723692863
15,0.500008685217152308322732484229013635,1.84628845238185487323124215825171297,3.93651044153142738175172908243273534,6.80003694726901665066827485056761928,10.4487180174586585775581255576415420,14.8881618862051729972617945577479644,20.1214010818152690572994705711799954,26.1502627519762338988993146025399355,32.9759626149299496968011562212028467,40.5994085724182284516254771644853579
16,0.500007176117252987607155081187815839,1.84627837721388678288384862439081051,3.93647977294556429138465662717861623,6.79996978882293419193569814300787882,10.4485937545028511416461033351116419,14.8879528043932603557075589136067072,20.1210681197112831404813684144313877,26.1497480034289497307412074155555181,32.9751753653768416244846064731147479,40.5981972195118098443557290368221125
17,0.500005997450135143696523968541544348,1.84627052871160605241727455407935547,3.93645598261936550058952276889886436,6.79991800633300439109621042362354335,10.4484987235996980869326324920212642,14.8877946254072663186560155954132147,20.1208197396924043017610435529211070,26.1493709936594410754574159822629944,32.9746125351718339277853652032065414,40.5973588898469508787331616531662621
18,0.500005063479129144146934039531041696,1.84626432318555584438265108667231161,3.93643723819226924678643641871052475,6.79987741026465386962403249569832084,10.4484247215649616743355034460390074,14.8876725258896065806053482874230200,20.1206301664435809246278361286686861,26.1490873804823647507011119865289603,32.9741969610176346325171316935858860,40.5967548095318215576589407927508305
19,0.500004313843542940770713479940647869,1.84625935161254100585006509294654817,3.93642226517507849742331159847341757,6.79984511758306193110047015434594200,10.4483661842701460823857317818813411,14.8875766397837952794827256013094292,20.1204826592946786990541325191114105,26.1488692600159117695120664754650870,32.9738820408876238761887462909848247,40.5963056067582684072641406560732877
20,0.500003705208701022401177514535246355,1.84625532149156727549960073687613420,3.93641015784307027674953515070352380,6.79981909764052980944696969102130073,10.4483192393036688417849492314690568,14.8875002067073787005171998511005387,20.1203659731996212290546734066660949,26.1486983570132762087539052156238009,32.9736382234811820522606293264057263,40.5959630052209409328662644408899701
