File Number,First Data
1,0.536844929114528343918880273712156099
2,0.503227070346064374012295817994211804
3,0.500966546529793417523068733672653522
4,0.500417399452992985002890011285029941
5,0.500217960522471971158284126805621138
6,0.500128104671212273503428080419334000
7,0.500081664405705688082489478314484013
8,0.500055247114567288987596029634417437
9,0.500039112799761668449755917251697326
10,0.500028702462125662622459941835775763
11,0.500021684846014881365774260789054630
12,0.500016782142915590632051615666073333
13,0.500013253553626604355940791180734371
14,0.500010649244328532923553566068974014
15,0.500008685217152308322732484229013635
16,0.500007176117252987607155081187815839
17,0.500005997450135143696523968541544348
18,0.500005063479129144146934039531041696
19,0.500004313843542940770713479940647869
20,0.500003705208701022401177514535246355
21,0.500003205914901272780189665060894671
22,0.500002792465696977076209863467516149
23,0.500002447173571292185332793706633826
24,0.500002156550866680129296269979067748
25,0.500001910190685001506719258420891583
26,0.500001699976071083889884891624105283
27,0.500001519512977877991213953803911084
28,0.500001363718209497390346320200657749
29,0.500001228516266023447673726119645193
30,0.500001110613747605615316278364894122
31,0.500001007329687287633530249940308182
32,0.500000916466683168936225610104280058
33,0.500000836212115103748288501974367938
34,0.500000765061769000027782808462615237
35,0.500000701760308362022037800046898082
36,0.500000645254524630382253703943360183
37,0.500000594656360973598506935731152059
38,0.500000549213469502074244586126756210
39,0.500000508285618143796129010978791630
40,0.500000471325671421628220732496706711
41,0.500000437864171197272015455877817201
42,0.500000407496768541233906735593610504
43,0.500000379873927050613264678947554666
44,0.500000354692445993451223549626800532
45,0.500000331688449270504869212029953557
46,0.500000310631561081523751457248079302
47,0.500000291320047010758052649987422802
48,0.500000273576744162796904255769240017
49,0.500000257245639067094701477854181989
50,0.500000242188979628340553906490179497
51,0.500000228284829158600065763982180647
52,0.500000215424987792532593916084191259
53,0.500000203513220352578262092504081371
54,0.500000192463740756719384084167731588
55,0.500000182199911931586459365384907505
56,0.500000172653127359987120454616280717
57,0.500000163761846205299669128277756524
58,0.500000155470758689531631937583250768
59,0.500000147730062272047867281368009311
60,0.500000140494832351282903617342651668
61,0.500000133724473826091392999559610364
62,0.500000127382242013162611492941968250
63,0.500000121434823207009667038144858580
64,0.500000115851966657415471446893516821
65,0.500000110606160980512809384599792569
66,0.500000105672349057974029833492307782
67,0.500000101027676349771450631374010658
68,0.500000096651268278629280856961518241
69,0.500000092524032962245885874781415368
70,0.500000088628486091936042097312646303
71,0.500000084948595199366302481878132422
72,0.500000081469640929562096795035426639
73,0.500000078178093259101197278668604438
74,0.500000075061500872266589787458366777
75,0.500000072108392142288892021645837502
76,0.500000069308186365799385753060856144
77,0.500000066651114071355437441889789633
78,0.500000064128145371667646855369323205
79,0.500000061730925457536661043382175395
80,0.500000059451716442508056121926007304
81,0.500000057283344863411122293332301283
82,0.500000055219154225400969560975224191
83,0.500000053252962052682312805239658201
84,0.500000051379020969290991539257838141
85,0.500000049591983389447939229570412841
86,0.500000047886869445188194459699170764
87,0.500000046259037821149794201421570488
88,0.500000044704159203391159510692290187
89,0.500000043218192081582268418134453213
90,0.500000041797360672476946253986043577
91,0.500000040438134757730238785832090742
92,0.500000039137211251314272593306457056
93,0.500000037891497331385933784674075802
94,0.500000036698094988796337570020892866
95,0.500000035554286859787580402780469476
96,0.500000034457523224041081964372897085
97,0.500000033405410061336013719708200640
98,0.500000032395698070830224157338112912
99,0.500000031426272566550104470526651511
100,0.500000030495144171209816816711405128
101,0.500000029600440238096307439422043493
102,0.500000028740396937561162767644263539
103,0.500000027913351950747118220624031718
104,0.500000027117737718627644540963201923
105,0.500000026352075199324427580080301821
106,0.500000025614968091052804689600350832
107,0.500000024905097481984885779851172661
108,0.500000024221216891863129733986812657
109,0.500000023562147673386691754601211704
110,0.500000022926774744267066519094230662
111,0.500000022314042623442127336979862283
112,0.500000021722951747278419063445482226
113,0.500000021152555043706987922733865579
114,0.500000020601954744151549632949521060
115,0.500000020070299414840266383001895029
116,0.500000019556781190662358061202672314
117,0.500000019060633196154680270402103844
