Coefficient,Difference,Log(Difference)
1.0,0.79461392230250920052726736308458507965978514906079,-0.09984383001034889681957196216899319551885128021240234375
0.3008143618642685,0.09542828416677770052726736308458507965978514906079,-1.02032288486625244416927671409212052822113037109375
0.2667118180618078,0.06132574036431700052726736308458507965978514906079,-1.2123572000038176366132347538950853049755096435546875
0.2514843934063438,0.04609831570885300052726736308458507965978514906079,-1.3363149421095685820404241894721053540706634521484375
0.2428571613373241,0.03747108363983330052726736308458507965978514906079,-1.426303747205243777074201716459356248378753662109375
0.2372921729089967,0.03190609521150590052726736308458507965978514906079,-1.496126343154113413902450702153146266937255859375
0.2333951407922438,0.02800906309475300052726736308458507965978514906079,-1.5527014181162410721981359529308974742889404296875
0.2305067744333118,0.02512069673582100052726736308458507965978514906079,-1.5999683193804570269236364765674807131290435791015625
0.2282751664112051,0.02288908871371430052726736308458507965978514906079,-1.6403714976043370921132691364618949592113494873046875
0.2264954067324395,0.02110932903494870052726736308458507965978514906079,-1.6755255706265137494170858190045692026615142822265625
0.2250400784598464,0.01965400076235560052726736308458507965978514906079,-1.7065490314382214531718773287138901650905609130859375
0.2238257664546558,0.01843968875716500052726736308458507965978514906079,-1.734246413661268970685114254592917859554290771484375
0.2227955538922404,0.01740947619474960052726736308458507965978514906079,-1.7592142954623373185540913254953920841217041015625
0.2219092559750989,0.01652317827760810052726736308458507965978514906079,-1.78190641127316506953093266929499804973602294921875
0.2211376813294991,0.01575160363200830052726736308458507965978514906079,-1.802675225170942585606326247216202318668365478515625
0.2204591026873837,0.01507302498989290052726736308458507965978514906079,-1.8217995808251641332020653862855397164821624755859375
0.2198570064550102,0.01447092875751940052726736308458507965978514906079,-1.83950359456709922056916184374131262302398681640625
0.2193186141720335,0.01393253647454270052726736308458507965978514906079,-1.8559698113134353025799327951972372829914093017578125
0.2188338764593741,0.01344779876188330052726736308458507965978514906079,-1.8713487984723291557287438990897499024868011474609375
0.2183947792437655,0.01300870154627470052726736308458507965978514906079,-1.885766050051031594847472661058418452739715576171875
0.2179948504156159,0.01260877271812510052726736308458507965978514906079,-1.8993271836636493876682152404100634157657623291015625
0.2176288041193576,0.01224272642186680052726736308458507965978514906079,-1.9121218552200553997266752048744820058345794677734375
0.2172922793314981,0.01190620163400730052726736308458507965978514906079,-1.9242267668543784342460867264890111982822418212890625
0.2169816446868317,0.01159556698934090052726736308458507965978514906079,-1.935708010775736287456538775586523115634918212890625
0.2166938510357501,0.01130777333825930052726736308458507965978514906079,-1.9466229054292301103856743793585337698459625244140625
0.2164263185614407,0.01104024086394990052726736308458507965978514906079,-1.957021451539497913785226046456955373287200927734375
0.2161768489236543,0.01079077122616350052726736308458507965978514906079,-1.9669475147890433941455512467655353248119354248046875
0.2159435569028834,0.01055747920539260052726736308458507965978514906079,-1.976439765313155572101777579518966376781463623046875
0.2157248159578808,0.01033873826039000052726736308458507965978514906079,-1.9855324593064651583773638776619918644428253173828125
0.2155192149434085,0.01013313724591770052726736308458507965978514906079,-1.9942560751082647474419218269758857786655426025390625
0.2153255239313545,0.00993944623386370052726736308458507965978514906079,-2.00263781120396178181408686214126646518707275390625
0.215142664327814,0.00975658663032320052726736308458507965978514906079,-2.01070209492525098227133639738894999027252197265625
0.2149696875343689,0.00958360983687810052726736308458507965978514906079,-2.018470875374215989239701229962520301342010498046875
0.2148057548904398,0.00941967719294900052726736308458507965978514906079,-2.025963979980276885584089541225694119930267333984375
0.2146501224017276,0.00926404470423680052726736308458507965978514906079,-2.033199357895944192620163448737002909183502197265625
0.2145021273912142,0.00911604969372340052726736308458507965978514906079,-2.040193316044203175607663069968111813068389892578125
0.2143611777281415,0.00897510003065070052726736308458507965978514906079,-2.04696070235771809819880218128673732280731201171875
0.2142267426129249,0.00884066491543410052726736308458507965978514906079,-2.05351507002715560901151548023335635662078857421875
0.2140983441271848,0.00871226642969400052726736308458507965978514906079,-2.05986885189591628630978448200039565563201904296875
0.2139755519943311,0.00858947429684030052726736308458507965978514906079,-2.066033415559663577454330152249895036220550537109375
0.2138579765066187,0.00847189880912790052726736308458507965978514906079,-2.072019240211693702491402291343547403812408447265625
