Eigenstate,Energy,Diagonal Energy,Residual Energy
1,0.500000000000142182794064083967802649,0.536844929114528343918880273712156099,-0.036844929114386161124816189744353450
2,1.84623093765204297406313320586063826,1.87489076802969273945125057243700050,-0.02865983037764976538811736657636224
3,3.93633760970770362446736521970640466,3.95623090880462126828114393420265306,-0.01989329909691764381377871449624840
4,6.79966527781992396267260763190926069,6.81404497809387814347479438770497591,-0.01437970027395418080218675579571522
5,10.4480465752955405353011176328884417,10.4589205604037613019573308558617471,-0.0108739851082207666562132229733054
6,14.8870659968855192817186002280635050,14.8955994064923315731409527566250607,-0.0085334096068122914223525285615557
7,20.1197208240263001593080144948608074,20.1266171135078377374844725488408885,-0.0068962894815375781764580539800811
8,26.1477838430939254724402960538705630,26.1534892178572856918972045498453335,-0.0057053747633602194569084959747705
9,32.9723835530941565512574158415279521,32.9771940588831219579913553382310225,-0.0048105057889654067339394967030704
10,40.5942802081752434787681939624808042,40.5983999916340077251454415544766917,-0.0041197834587642463772475919958875
11,49.0140093784780103751520576834629164,49.0175839000481967961866582146988277,-0.0035745215701864210346005312359113
12,58.2319621593069341193368693658261374,58.2350979899342027116710280813451923,-0.0031358306272685923341587155190549
13,68.2484326807277073434376945824354343,68.2512097825246746433708230672610958,-0.0027771017969672999331284848256615
14,79.0636476404233833847036506911698802,79.0661272573988691307691123566637355,-0.0024796169754857460654616654938553
15,90.6777854195085511704545539546385162,90.6800153064125366839088072862919660,-0.0022298869039855134542533316534498
16,103.090988887399774069154404842910425,103.093006869880569662333591700522130,-0.002017982480795593179186857611705
17,116.303374235277090283459940241267589,116.305210692609005460118978413410298,-0.001836457331915176659038172142709
18,130.315037227090209757223141802792930,130.316716860716175406879466435057939,-0.001679633625965649656324632265009
19,145.126057722662490100303054734033783,145.127600840100963072626022049245840,-0.001543117438472972322967315212057
20,160.736503015324871882935140038486787,160.737926478224652085852001631018433,-0.001423462899780202916861592531646
21,177.146430337997575016506733227957943,177.147748273000955453977286302779321,-0.001317935003380437470553074821378
22,194.355888774348838320401737738399578,194.357113113549403638498165500224013,-0.001224339200565318096427761824435
23,212.364920736731443766955978404525806,212.366061633790230971324794508877277,-0.001140897058787204368816104351471
24,231.173563123583138338257340600617356,231.174629277820242129573093367686383,-0.001066154237103791315752767069027
25,250.781848236222560191579124438686202,250.782847147712966790853848986364826,-0.000998911490406599274724547678624
26,271.189804512656826238616492740164364,271.190742684976690991560729478464572,-0.000938172319864752944236738300208
27,292.397457120544107849655736434140714,292.398340223359353240361538697763530,-0.000883102815245390705802263622816
28,314.404828440552670589523427569699557,314.405661441088413290542690310243762,-0.000833000535742701019262740544205
29,337.211938463562826073993145053521988,337.212725733730089550598322393748976,-0.000787270167263476605177340226988
30,360.818805119508756468364568397995572,360.819550523822258708435284858398332,-0.000745404313502240070716460402760
31,385.225444551511233651511013726538321,385.226151519725501387219549567223435,-0.000706968214267735708535840685114
32,410.431871345874355485166336720135083,410.432542933369762541150065205031277,-0.000671587495407055983728484896194
33,436.438098726209773824974881374719672,436.438737664488605813394503726828983,-0.000638938278831988419622352109311
34,463.244138718201342644334224383294063,463.244747457345861167116743447238563,-0.000608739144518522782519063944500
35,490.850002290183919576867348784128369,490.850583034740531445477080908826363,-0.000580744556611868609732124697994
36,519.255699473676575305204796209331346,519.256254213131713040822378061515802,-0.000554739455137735617581852184456
37,548.461239467206380675549054046843536,548.461770001988202746931066084489366,-0.000530534781822071382012037645830
38,578.466630726128522674595286900812205,578.467138689887699084412114231054487,-0.000507963759176409816827330242282
39,609.271881040650651756056683068421668,609.272367919431256112867642669181995,-0.000486878780604356810959600760327
40,640.876997603873542220650092119624295,640.877464752672458999533370374659484,-0.000467148798916778883278255035189
41,673.281987071343397079798653920335519,673.282435728466950062725271658598540,-0.000448657123552982926617738263021
42,706.486855613356136231900709293942856,706.487286912910772048806728651756538,-0.000431299554635816906019357813682
43,740.491608961047520435177299304602828,740.492023943843475756105601853036496,-0.000414982795955320928302548433668
44,775.296252447134869545671105314606973,775.296652070234851170656859800206882,-0.000399623099981624985754485599909
45,810.900791042038563920025668398571766,810.901176187145294551282256135266549,-0.000385145106730631256587736694783
46,847.305229385998381600123982708515708,847.305600866843638955377946547047275,-0.000371480845257355253963838531567
47,884.509571817706247284370384544590740,884.509930386578368047585985116017724,-0.000358568872120763215600571426984
48,922.513822399899382726181608722118155,922.514168753425029746317317723944632,-0.000346353525647020135709001826477
49,961.317984942293185656381512544117877,961.318319726571630723057408988409933,-0.000334784278445066675896444292056
